"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2024-05-08",2024-04-08,"2024-05-08",29
"2","ild","2024-05-08",2024-04-08,"2024-05-08",28
"3","ssh","2024-05-08",2024-04-08,"2024-05-08",28
"4","sst","2024-05-08",2024-04-08,"2024-05-08",29
"5","su","2024-05-08",2024-04-08,"2024-05-08",28
"6","sv","2024-05-08",2024-04-08,"2024-05-08",28
"7","sustr","2024-05-08",2024-04-08,"2024-05-08",28
"8","svstr","2024-05-08",2024-04-08,"2024-05-08",28
"9","sst_sd","2024-05-08",2024-04-08,"2024-05-08",29
"10","ssh_sd","2024-05-08",2024-04-08,"2024-05-08",28
"11","curl","2024-05-08",2024-04-08,"2024-05-08",28
