"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2025-08-14",2025-07-15,"2025-08-14",20
"2","ild","2025-08-14",2025-07-15,"2025-08-14",20
"3","ssh","2025-08-14",2025-07-15,"2025-08-14",20
"4","sst","2025-08-14",2025-07-15,"2025-08-14",20
"5","su","2025-08-14",2025-07-15,"2025-08-14",20
"6","sv","2025-08-14",2025-07-15,"2025-08-14",20
"7","sustr","2025-08-14",2025-07-15,"2025-08-14",20
"8","svstr","2025-08-14",2025-07-15,"2025-08-14",20
"9","sst_sd","2025-08-14",2025-07-15,"2025-08-14",20
"10","ssh_sd","2025-08-14",2025-07-15,"2025-08-14",20
"11","curl","2025-08-14",2025-07-15,"2025-08-14",20
