"","Date","value","zone","species","metric","creation_date"
"1","2023-03-01",0.0204242653246326,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"2","2023-03-01",0.0120740768716117,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"3","2023-03-02",0.023578442396798,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"4","2023-03-02",0.0128095838446673,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"5","2023-03-03",0.0232700542314859,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"6","2023-03-03",0.0123774640859637,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"7","2023-03-04",0.0197698376132679,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"8","2023-03-04",0.0112454099153853,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"9","2023-03-05",0.0183082504293671,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"10","2023-03-05",0.0111286545522151,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"11","2023-03-06",0.0179406463287178,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"12","2023-03-06",0.0113089156654128,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"13","2023-03-07",0.0206271890594306,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"14","2023-03-07",0.0121650536374666,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"15","2023-03-08",0.023077165041457,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"16","2023-03-08",0.0134654010248975,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"17","2023-03-09",0.0232347140325325,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"18","2023-03-09",0.0148012324239382,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"19","2023-03-10",0.0210228444207437,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"20","2023-03-10",0.0129826095567959,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"21","2023-03-11",0.0206106835876417,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"22","2023-03-11",0.0118777164145268,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"23","2023-03-12",0.0197320215736985,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"24","2023-03-12",0.0155812569717844,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"25","2023-03-13",0.0205429684327302,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"26","2023-03-13",0.0168060440857439,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"27","2023-03-14",0.0224659655896142,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"28","2023-03-14",0.0151001186406929,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"29","2023-03-15",0.0229265753744689,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"30","2023-03-15",0.0136712010646522,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"31","2023-03-16",0.0210200029928566,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"32","2023-03-16",0.0135226198014805,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"33","2023-03-17",0.0232978241390714,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"34","2023-03-17",0.01562435401881,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"35","2023-03-18",0.0248122130365617,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"36","2023-03-18",0.0160869117990081,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"37","2023-03-19",0.0206818387328094,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"38","2023-03-19",0.0152227625200516,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"39","2023-03-20",0.0166813375085973,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"40","2023-03-20",0.0103630938800814,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"41","2023-03-21",0.0181714711381383,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"42","2023-03-21",0.0119932411896269,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"43","2023-03-22",0.021657387491123,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"44","2023-03-22",0.0120545281594583,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"45","2023-03-23",0.02415842560888,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"46","2023-03-23",0.0121279727403111,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"47","2023-03-24",0.021819238417076,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"48","2023-03-24",0.0111300185404309,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"49","2023-03-25",0.0229221255287133,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"50","2023-03-25",0.0119573171604912,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"51","2023-03-26",0.0230229187998709,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"52","2023-03-26",0.0114752862723651,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"53","2023-03-27",0.0229608322799671,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"54","2023-03-27",0.0122258672917509,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"55","2023-03-28",0.0227192317122126,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"56","2023-03-28",0.00999622318875379,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"57","2023-03-29",0.0170776670291306,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"58","2023-03-29",0.00863150170693287,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"59","2023-03-30",0.0130602205451108,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"60","2023-03-30",0.00754384915862665,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"61","2023-03-31",0.0143725436699341,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"62","2023-03-31",0.00915916925052306,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"63","2023-04-01",0.0270055364517902,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"64","2023-04-01",0.0143164914038867,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"65","2023-04-02",0.0301287089806864,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"66","2023-04-02",0.0145815962661856,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"67","2023-04-03",0.0244545241395625,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"68","2023-04-03",0.012094869305427,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"69","2023-04-04",0.0151243890206415,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"70","2023-04-04",0.0108176115942195,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"71","2023-04-05",0.0215655152728807,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"72","2023-04-05",0.0117152067409667,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"73","2023-04-06",0.0196479592862225,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"74","2023-04-06",0.0123370271515247,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"75","2023-04-07",0.0232105402203692,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"76","2023-04-07",0.0133432070869471,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"77","2023-04-08",0.0286100412546312,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"78","2023-04-08",0.0141037361114858,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"79","2023-04-09",0.0335203997813128,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"80","2023-04-09",0.0197147184391483,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"81","2023-04-10",0.0332800991237774,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"82","2023-04-10",0.0200853387210914,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"83","2023-04-11",0.0307786303339232,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"84","2023-04-11",0.0210687422724029,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"85","2023-04-12",0.0293611342508421,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"86","2023-04-12",0.0153436114647275,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"87","2023-04-13",0.023771823242349,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"88","2023-04-13",0.0146554646996017,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"89","2023-04-14",0.0265308124697937,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"90","2023-04-14",0.0149922012816352,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"91","2023-04-15",0.0238737403576627,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"92","2023-04-15",0.0146395505589636,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"93","2023-04-16",0.0258883623644699,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"94","2023-04-16",0.0146671036447348,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"95","2023-04-17",0.0284204781595687,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"96","2023-04-17",0.0137811443835509,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"97","2023-04-18",0.024814397640248,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"98","2023-04-18",0.0130242762805927,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
